Community Name,Category,Crime Count,Date
01C,Break & Enter - Commercial,1,1/1/2017 0:00
02E,Assault (Non-domestic),2,1/1/2017 0:00
02L,Break & Enter - Other Premises,1,1/1/2017 0:00
10A,Theft FROM Vehicle,1,1/1/2017 0:00
12A,Break & Enter - Commercial,6,1/1/2017 0:00
12A,Theft OF Vehicle,2,1/1/2017 0:00
ABBEYDALE,Assault (Non-domestic),4,1/1/2017 0:00
ABBEYDALE,Break & Enter - Other Premises,1,1/1/2017 0:00
ABBEYDALE,Commercial Robbery,1,1/1/2017 0:00
ABBEYDALE,Street Robbery,1,1/1/2017 0:00
ABBEYDALE,Theft FROM Vehicle,4,1/1/2017 0:00
ABBEYDALE,Theft OF Vehicle,3,1/1/2017 0:00
ABBEYDALE,Violence Other (Non-domestic),3,1/1/2017 0:00
ACADIA,Break & Enter - Commercial,2,1/1/2017 0:00
ACADIA,Break & Enter - Dwelling,3,1/1/2017 0:00
ACADIA,Break & Enter - Other Premises,2,1/1/2017 0:00
ACADIA,Theft FROM Vehicle,10,1/1/2017 0:00
ACADIA,Theft OF Vehicle,8,1/1/2017 0:00
ACADIA,Violence Other (Non-domestic),2,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Assault (Non-domestic),5,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Break & Enter - Commercial,2,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Break & Enter - Dwelling,4,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Break & Enter - Other Premises,7,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Street Robbery,2,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Theft FROM Vehicle,10,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Theft OF Vehicle,8,1/1/2017 0:00
ALBERT PARK/RADISSON HEIGHTS,Violence Other (Non-domestic),3,1/1/2017 0:00
ALTADORE,Assault (Non-domestic),1,1/1/2017 0:00
ALTADORE,Break & Enter - Commercial,1,1/1/2017 0:00
ALTADORE,Break & Enter - Other Premises,2,1/1/2017 0:00
ALTADORE,Theft FROM Vehicle,4,1/1/2017 0:00
ALTADORE,Theft OF Vehicle,2,1/1/2017 0:00
ALYTH/BONNYBROOK,Break & Enter - Commercial,3,1/1/2017 0:00
ALYTH/BONNYBROOK,Theft FROM Vehicle,2,1/1/2017 0:00
ALYTH/BONNYBROOK,Theft OF Vehicle,2,1/1/2017 0:00
ALYTH/BONNYBROOK,Violence Other (Non-domestic),2,1/1/2017 0:00
